Rk,Player,Age,Team,Pos,G,GS,Int,Int Yds,IntTD,Lng Int,PD,FF,Fmb,FR,Yds,FR TD,Sack,Comb Tackles,Solo Tackles,Tackle Ast,TFL,QBHits,Safety,Awards
1,Dre'Mont Jones,28,2TM,OLB,18,17,0,0,0,0,1,0,0,2,2,0,7,43,19,24,7,24,0,
1,Dre'Mont Jones,28,TEN,OLB,9,9,0,0,0,0,0,0,0,1,2,0,4.5,26,13,13,5,9,0,
1,Dre'Mont Jones,28,BAL,DE,9,8,0,0,0,0,1,0,0,1,0,0,2.5,17,6,11,2,15,0,
2,Rashid Shaheed,27,2TM,WR,18,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,PB
2,Rashid Shaheed,27,NOR,WR,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
2,Rashid Shaheed,27,SEA,WR,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
3,Jonathan Allen,30,MIN,DL,17,17,0,0,0,0,0,0,0,1,0,0,3.5,68,29,39,7,11,0,
4,Josh Allen,29,BUF,QB,17,17,0,0,0,0,0,0,7,2,-17,0,0,0,0,0,0,0,0,PBAP MVP-3
5,Zach Allen,28,DEN,DL,17,17,0,0,0,0,6,0,0,0,0,0,7,38,14,24,4,47,0,PBAP-1
6,Will Anderson,24,HOU,DE,17,17,0,0,0,0,3,3,0,2,0,1,12,54,35,19,20,23,0,PBAP-1AP DPoY-2
7,AJ Barner,23,SEA,TE,17,17,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,
8,Derrick Barnes,26,DET,LB,17,17,1,23,0,23,3,0,0,0,0,0,4,78,40,38,6,5,1,
9,Cody Barton,29,TEN,LB,17,17,3,25,1,24,11,0,0,0,0,0,1,81,37,44,4,1,0,
10,Graham Barton,23,TAM,C,17,17,0,0,0,0,0,0,1,1,-11,0,0,0,0,0,0,0,0,
11,Jessie Bates III,28,ATL,S,17,17,3,54,1,34,6,1,0,0,0,0,0,98,57,41,1,2,0,AP-2
12,Jordan Battle,25,CIN,S,17,17,4,6,0,4,6,2,0,0,0,0,0,125,62,63,2,0,0,
13,Keeanu Benton,24,PIT,DT,17,17,0,0,0,0,1,1,0,0,0,0,5.5,51,25,26,6,12,0,
14,Cole Bishop,23,BUF,S,17,17,3,16,0,12,7,0,0,0,0,0,2,85,53,32,4,2,0,
15,Nick Bolton,25,KAN,LB,17,17,1,0,0,0,6,1,0,0,0,0,1,154,73,81,10,7,0,
16,Garrett Bradbury,30,NWE,C,17,17,0,0,0,0,0,0,2,0,-27,0,0,0,0,0,0,0,0,
17,Jaquan Brisker,26,CHI,DB,17,17,1,32,0,32,8,0,0,0,0,0,1,93,52,41,1,3,0,
18,Jordyn Brooks,28,MIA,LB,17,17,0,0,0,0,3,1,0,1,2,0,3.5,183,99,84,13,4,0,AP-1
19,Chase Brown,25,CIN,RB,17,17,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,
20,Derrick Brown,27,CAR,DT,17,17,0,0,0,0,7,1,0,0,0,0,5,73,33,40,5,11,0,
21,Orlando Brown Jr.,29,CIN,OT,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
22,Calen Bullock,22,HOU,S,17,17,4,40,0,29,10,1,0,0,0,0,0,64,44,20,0,0,0,PB
23,Brian Burns,27,NYG,OLB,17,17,0,0,0,0,7,3,0,1,23,0,16.5,67,39,28,22,31,0,PBAP-2
24,Devin Bush Jr.,27,CLE,LB,17,17,3,164,2,97,8,2,0,1,0,0,2,125,63,62,7,4,0,
25,Kevin Byard,32,CHI,DB,17,17,7,91,0,35,8,0,0,0,0,0,0,93,61,32,4,0,0,PBAP-1
26,Camryn Bynum,27,IND,S,17,17,4,22,0,14,8,1,0,1,0,0,1,81,50,31,3,0,0,
27,Calais Campbell,39,ARI,DL,17,17,0,0,0,0,2,0,0,0,0,0,6.5,43,23,20,9,16,0,
28,Jack Campbell,25,DET,LB,17,17,0,0,0,0,4,3,0,2,2,0,5,176,89,87,9,5,0,PBAP-1
29,Bradley Chubb,29,MIA,LB/OLB,17,17,0,0,0,0,0,2,0,1,2,0,8.5,47,24,23,8,20,0,
30,Kenny Clark,30,DAL,DT,17,17,0,0,0,0,0,0,0,0,0,0,3,36,17,19,6,9,0,
31,Josh Conerly,22,WAS,OT,17,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
32,Chamarri Conner,25,KAN,DB,17,17,1,1,0,1,2,2,0,0,0,0,2,117,75,42,4,5,0,
33,Bryan Cook,26,KAN,S,17,17,0,0,0,0,6,0,0,0,0,0,0,85,50,35,1,0,0,
34,James Cook,26,BUF,RB,17,17,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,PBAP-2
35,Jonathon Cooper,27,DEN,OLB,17,17,0,0,0,0,4,0,0,0,0,0,8,50,23,27,8,16,0,
36,Nick Cross,24,IND,S,17,17,1,0,0,0,5,1,0,0,0,0,2.5,120,72,48,5,6,0,
37,Kamren Curl,26,LAR,S,17,17,2,0,0,0,5,1,0,0,0,0,2,122,79,43,2,2,0,
38,Drew Dalman,27,CHI,OL,17,17,0,0,0,0,0,0,1,1,-18,0,0,0,0,0,0,0,0,PB
39,Sam Darnold,28,SEA,QB,17,17,0,0,0,0,0,1,11,1,-4,0,0,0,0,0,0,0,0,PB
40,Lavonte David,35,TAM,LB,17,17,1,3,0,3,3,2,0,2,0,0,3.5,114,61,53,8,6,0,
41,Carlton Davis,29,NWE,CB,17,17,0,0,0,0,10,0,0,0,0,0,0,69,39,30,3,1,0,
42,Demario Davis,36,NOR,LB,17,17,0,0,0,0,3,2,0,1,0,0,0.5,143,64,79,6,2,0,
43,Jordan Davis,25,PHI,DT,17,17,0,0,0,0,6,0,0,0,0,0,4.5,72,34,38,9,6,0,
44,Kalia Davis,27,SFO,DL,17,17,0,0,0,0,3,0,0,0,0,0,0.5,28,10,18,4,2,0,
45,Gervon Dexter,24,CHI,DL,17,17,0,0,0,0,0,0,0,2,0,0,6,44,21,23,6,11,0,
46,YaYa Diaby,26,TAM,OLB,17,17,0,0,0,0,1,1,0,0,0,0,7,50,29,21,13,19,0,
47,Kaden Elliss,30,ATL,LB,17,17,1,16,0,16,6,1,0,0,0,0,3.5,107,59,48,10,10,0,
48,Zay Flowers,25,BAL,WR,17,17,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,PB
49,Zaire Franklin,29,IND,LB,17,17,0,0,0,0,5,1,0,0,0,0,2,125,62,63,7,6,0,
50,Hjalte Froholdt,29,ARI,OL,17,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
51,Myles Garrett,30,CLE,DE,17,17,0,0,0,0,1,3,0,0,0,0,23,60,43,17,33,39,0,PBAP-1AP DPoY-1
52,Jahmyr Gibbs,23,DET,RB,17,17,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,PB
53,Jared Goff,31,DET,QB,17,17,0,0,0,0,0,0,6,1,-23,0,0,0,0,0,0,0,0,PB
54,Mason Graham,22,CLE,DT,17,17,0,0,0,0,4,0,0,0,0,0,0.5,49,28,21,7,4,0,
55,DaVon Hamilton,28,JAX,DT,17,17,0,0,0,0,0,0,0,0,0,0,1,38,15,23,3,3,0,
56,Derrick Henry,31,BAL,RB,17,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
