Season,Week,GameStatus,GameSlot,GameDate,AwayTeam,AwayScore,HomeTeam,HomeScore
2025,HALL OF FAME,FINAL,Thursday,July 31st,LAC,34.0,DET,7.0
2025,PRESEASON WEEK 1,FINAL,Thursday,August 7th,IND,16.0,BAL,24.0
2025,PRESEASON WEEK 1,FINAL,Thursday,August 7th,CIN,27.0,PHI,34.0
2025,PRESEASON WEEK 1,FINAL,Thursday,August 7th,LV,23.0,SEA,23.0
2025,PRESEASON WEEK 1,FINAL,Friday,August 8th,DET,17.0,ATL,10.0
2025,PRESEASON WEEK 1,FINAL,Friday,August 8th,CLE,30.0,CAR,10.0
2025,PRESEASON WEEK 1,FINAL,Friday,August 8th,WAS,18.0,NE,48.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,NYG,34.0,BUF,25.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,HOU,10.0,MIN,20.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,PIT,31.0,JAX,25.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,DAL,21.0,LAR,31.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,TEN,7.0,TB,29.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,KC,17.0,ARI,20.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,NYJ,30.0,GB,10.0
2025,PRESEASON WEEK 1,FINAL,Saturday,August 9th,DEN,30.0,SF,9.0
2025,PRESEASON WEEK 1,FINAL,Sunday,August 10th,MIA,24.0,CHI,24.0
2025,PRESEASON WEEK 1,FINAL,Sunday,August 10th,NO,13.0,LAC,27.0
2025,PRESEASON WEEK 2,FINAL,Friday,August 15th,TEN,23.0,ATL,20.0
2025,PRESEASON WEEK 2,FINAL,Friday,August 15th,KC,16.0,SEA,33.0
2025,PRESEASON WEEK 2,FINAL,Saturday,August 16th,MIA,24.0,DET,17.0
2025,PRESEASON WEEK 2,FINAL,Saturday,August 16th,CAR,3.0,HOU,20.0
2025,PRESEASON WEEK 2,FINAL,Saturday,August 16th,GB,23.0,IND,19.0
2025,PRESEASON WEEK 2,FINAL,Saturday,August 16th,NE,20.0,MIN,12.0
2025,PRESEASON WEEK 2,FINAL,Saturday,August 16th,CLE,22.0,PHI,13.0
2025,PRESEASON WEEK 2,FINAL,Saturday,August 16th,SF,22.0,LV,19.0
