Rk,Player,Age,Team,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
1,Ka'imi Fairbairn,31,HOU,K,15,0,0,0,8,8,11,11,16,16,13,9,48,44,57,91.7,28,28,100,86,5403,22,25.6,63,
2,Jason Myers,34,SEA,K,17,0,0,0,6,5,15,14,15,13,12,9,48,41,57,85.4,48,48,100,103,6290,18,17.5,61,
3,Brandon Aubrey,30,DAL,K,17,0,0,0,10,10,5,5,10,10,17,11,42,36,64,85.7,48,47,97.9,101,6025,17,16.8,60,PBAP-2
4,Cameron Dicker,25,LAC,K,17,0,0,0,7,7,15,14,13,12,6,5,41,38,59,92.7,35,34,97.1,90,5508,16,17.8,61,PB
5,Harrison Butker,30,KAN,K,17,0,1,1,9,9,9,9,11,9,8,5,38,33,59,86.8,35,31,88.6,87,5259,13,14.9,60,
6,Chase McLaughlin,29,TAM,K,17,0,0,0,6,6,11,9,9,6,12,11,38,32,65,84.2,33,32,97,84,5053,21,25,60,
7,Will Reichard,24,MIN,K,17,0,0,0,6,6,9,9,7,7,13,11,35,33,62,94.3,31,31,100,83,4999,15,18.1,60,AP-1
8,Joey Slye,29,TEN,K,16,0,0,0,6,6,6,6,9,7,14,9,35,28,58,80,27,26,96.3,67,4046,17,25.4,60,
9,Jake Bates,26,DET,K,17,0,0,0,6,6,8,8,11,9,9,4,34,27,59,79.4,56,54,96.4,99,5967,17,17.2,60,
10,Cam Little,22,JAX,K,17,0,0,0,5,5,9,9,10,8,10,8,34,30,68,88.2,51,50,98,97,5924,37,38.1,61,
11,Tyler Loop,24,BAL,K,17,0,0,0,10,10,11,11,9,8,4,1,34,30,52,88.2,46,44,95.7,94,5323,10,10.6,57,
12,Chad Ryland,26,ARI,K,17,0,0,0,5,5,8,7,10,7,10,6,33,25,57,75.8,36,36,100,82,4826,20,24.4,59,
13,Andres Borregales,22,NWE,K,17,0,2,2,6,6,9,8,11,7,4,4,32,27,59,84.4,55,53,96.4,96,5763,25,26,60,
14,Chris Boswell,34,PIT,K,17,0,0,0,6,6,4,2,11,10,11,9,32,27,60,84.4,43,42,97.7,88,5210,7,8,59,
15,Wil Lutz,31,DEN,K,17,0,0,0,10,10,11,11,5,3,6,4,32,28,57,87.5,39,39,100,88,5452,21,23.9,62,
16,Brandon McManus,34,GNB,K,14,0,0,0,10,10,8,8,7,3,5,3,30,24,56,80,33,32,97,69,4299,15,21.7,62,
17,Cairo Santos,34,CHI,K,15,0,0,0,3,3,9,8,12,10,6,4,30,25,54,83.3,39,39,100,81,4814,18,22.2,59,
18,Ryan Fitzgerald,25,CAR,K,17,0,0,0,6,6,9,8,9,8,5,2,29,24,57,82.8,30,27,90,71,4159,10,14.1,59,
19,Nick Folk,41,NYJ,K,16,0,0,0,5,5,9,9,7,7,8,7,29,28,58,96.6,22,22,100,29,1601,6,20.7,55,
20,Riley Patterson,26,MIA,K,17,0,0,0,5,5,9,8,11,11,4,3,29,27,54,93.1,35,34,97.1,79,4680,14,17.7,59,
