Rk,Player,Age,Team,Pos,G,GS,Punt Returns,Punt Return Yds,Punt Return TD,Lng Punt Return,Y/cPunt Ret,Kick Returns,Kick Return Yds,KR TD,Lng Kick Return,Y/ Kick Ret,APYd,Awards
1,Kalif Raymond,31,DET,WR,15,3,32,241,1,65,7.5,6,161,0,44,26.8,710,
2,Jaylin Noel,23,HOU,WR,17,3,31,335,0,53,10.8,29,799,0,69,27.6,1438,
3,Myles Price,24,MIN,WR,16,0,30,298,0,43,9.9,57,1479,0,61,25.9,1777,
4,Marvin Mims,23,DEN,WR,15,4,29,452,1,70,15.6,25,658,0,46,26.3,1510,
5,Isaiah Williams,24,NYJ,WR,15,2,28,396,2,78,14.1,28,837,0,83,29.9,1460,
6,Xavier Smith,28,LAR,WR,16,3,27,251,0,31,9.3,13,301,0,32,23.2,855,
7,Kameron Johnson,23,TAM,WR,17,0,26,291,0,54,11.2,27,685,0,44,25.4,1053,
8,Skyy Moore,25,SFO,WR,17,0,25,291,0,66,11.6,33,907,0,98,27.5,1296,
9,Nikko Remigio,26,KAN,WR,14,0,25,191,0,31,7.6,29,741,0,47,25.6,964,
10,Parker Washington,23,JAX,WR,16,7,25,341,2,87,13.6,3,75,0,32,25,1263,
11,Gage Larvadain,23,CLE,WR,13,0,24,167,0,44,7,0,0,0,0,,241,
12,Gunner Olszewski,29,NYG,WR,16,1,24,216,0,21,9,26,682,0,37,26.2,1043,
13,Chimere Dike,24,TEN,WR,17,10,23,398,2,90,17.3,62,1588,0,71,25.6,2427,PBAP-1
14,Jaylin Lane,23,WAS,WR,15,4,23,314,2,90,13.7,3,56,0,30,18.7,602,
15,Rashid Shaheed,27,2TM,WR,18,13,23,339,1,58,14.7,15,447,1,100,29.8,1542,PB
15,Rashid Shaheed,27,NOR,WR,9,9,10,129,0,40,12.9,1,29,0,29,29,662,
15,Rashid Shaheed,27,SEA,WR,9,4,13,210,1,58,16.2,14,418,1,100,29.9,880,
16,Alex Bachman,29,LVR,WR,13,0,22,124,0,25,5.6,0,0,0,0,,136,
17,Devin Duvernay,28,CHI,WR,17,0,21,231,0,22,11,40,1069,0,56,26.7,1326,
18,Marcus Jones,27,NWE,CB,17,8,21,363,2,94,17.3,0,0,0,0,,428,AP-2
19,Trevor Etienne,21,CAR,RB,17,0,20,163,0,16,8.2,31,733,0,45,23.6,1003,
20,Malik Washington,24,MIA,WR,17,6,20,260,1,74,13,36,965,0,47,26.8,1652,
21,Ke'Shawn Williams,24,2TM,WR,11,0,20,207,0,43,10.4,26,628,0,37,24.2,850,
21,Ke'Shawn Williams,24,PIT,WR,8,0,11,112,0,17,10.2,18,425,0,37,23.6,537,
21,Ke'Shawn Williams,24,CIN,WR,3,0,9,95,0,43,10.6,8,203,0,31,25.4,313,
22,Greg Dortch,27,ARI,WR,12,3,16,185,0,40,11.6,31,811,0,39,26.2,1217,
23,Tory Horton,23,SEA,WR,8,3,16,238,1,95,14.9,0,0,0,0,,399,
24,Khalil Shakir,25,BUF,WR,16,10,16,124,0,28,7.8,0,0,0,0,,848,
25,LaJohntay Wester,23,BAL,WR,17,0,16,198,0,35,12.4,10,246,0,32,24.6,444,
26,Jamal Agnew,30,ATL,WR,11,0,15,114,0,17,7.6,30,741,0,45,24.7,855,
27,Calvin Austin III,26,PIT,WR,14,7,15,101,0,12,6.7,0,0,0,0,,473,
28,Romeo Doubs,25,GNB,WR,16,15,15,94,0,16,6.3,0,0,0,0,,818,
29,Anthony Gould,24,IND,WR,11,1,13,131,0,21,10.1,25,647,0,39,25.9,784,
30,Charlie Jones,27,CIN,WR,14,0,13,115,0,23,8.8,42,1084,1,98,25.8,1199,
31,Dante Pettis,30,NOR,WR,8,0,13,79,0,17,6.1,15,351,0,32,23.4,557,
32,Britain Covey,28,PHI,WR,6,0,11,124,0,22,11.3,5,125,0,30,25,269,
33,Derius Davis,25,LAC,WR,11,0,11,77,0,33,7,18,464,0,30,25.8,556,
34,Brandon Codrington,25,BUF,CB,4,0,10,58,0,15,5.8,14,375,0,41,26.8,433,
35,KaVontae Turpin,29,DAL,WR,15,2,10,55,0,19,5.5,69,1814,0,84,26.3,2354,PBAP-2
36,Josh Downs,24,IND,WR,16,11,8,68,0,24,8.5,0,0,0,0,,632,
37,Xavier Gipson,24,2TM,WR,6,0,8,86,0,19,10.8,12,319,0,40,26.6,411,
37,Xavier Gipson,24,NYJ,WR,1,0,2,19,0,19,9.5,5,142,0,40,28.4,161,
37,Xavier Gipson,24,PHI,WR,5,0,6,67,0,18,11.2,7,177,0,37,25.3,250,
38,Tre Tucker,24,LVR,WR,17,17,7,49,0,15,7,1,23,0,23,23,819,
39,DeAndre Carter,32,CLE,WR,4,0,6,56,0,15,9.3,11,274,0,32,24.9,330,
40,Matthew Golden,22,GNB,WR,14,5,6,28,0,11,4.7,0,0,0,0,,438,
41,Brashard Smith,22,KAN,RB,17,1,6,68,0,44,11.3,18,481,0,37,26.7,872,
42,Deven Thompkins,26,ATL,WR,7,0,6,54,0,15,9,12,281,0,47,23.4,367,
43,Michael Bandy,28,DEN,WR,4,0,5,29,0,12,5.8,0,0,0,0,,79,
44,Jahan Dotson,25,PHI,WR,17,10,5,48,0,15,9.6,0,0,0,0,,310,
45,Tarheeb Still,23,LAC,CB,15,13,5,36,0,11,7.2,0,0,0,0,,36,
46,Avery Williams,27,NYJ,WR,1,0,4,41,0,17,10.3,5,133,0,29,26.6,174,
47,Braxton Berrios,30,HOU,WR,4,0,3,25,0,10,8.3,3,81,0,32,27,143,
48,Tom Kennedy,29,DET,WR,6,0,3,50,0,21,16.7,16,447,0,42,27.9,533,
49,Ladd McConkey,24,LAC,WR,16,12,3,23,0,10,7.7,0,0,0,0,,812,
50,Jalen Moreno-Cropper,24,DAL,WR,3,0,3,27,0,10,9,2,38,0,21,19,65,
51,Keisean Nixon,28,GNB,CB,17,17,3,3,0,3,1,0,0,0,0,,25,PB
52,Steven Sims,28,ARI,WR,3,0,3,32,0,18,10.7,10,236,0,31,23.6,268,
